OBJ_ID,CATEGORY,KEY,SMALL_VALUE,LOB_VALUE,AUDIT_SEQ
10476105,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476107,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476109,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476111,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476113,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476115,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476117,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476119,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476121,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476123,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476125,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476127,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476129,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476131,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476133,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476135,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476137,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476139,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476141,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476143,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476145,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476147,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476149,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476151,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476153,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476155,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476157,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476159,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476161,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476171,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476173,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476175,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476177,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476179,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476181,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476183,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476185,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476187,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476205,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476207,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476209,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476211,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476213,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476215,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476217,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476219,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476221,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476247,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476249,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476251,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476253,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476271,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476273,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476275,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476277,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476279,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476281,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476283,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476285,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476287,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476289,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476291,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476293,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476295,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476297,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476299,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476301,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476303,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476305,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476307,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476309,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476311,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476313,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476315,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476317,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476319,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476321,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476323,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476325,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476327,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476329,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476331,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476333,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476335,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476337,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476339,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476341,IP_FIREFNO,FIREFNO,1.2021E+18,,1
